Bird (book entry),Source species used,Sound URL,License,Status
Bald Eagle,Bald Eagle,https://commons.wikimedia.org/wiki/Special:FilePath/Bald_Eagle_Yellowstone_National_Park.ogg,Public Domain (NPS),CONFIRMED
Golden Eagle,Golden Eagle,https://commons.wikimedia.org/wiki/Special:FilePath/Golden_Eagle_(Aquila_chrysaetos)_(W1CDR0001387_BD6).ogg,CC-BY-4.0,CONFIRMED
Barn Owl,Barn Owl,https://commons.wikimedia.org/wiki/Special:FilePath/Barn_Owl_(Tyto_alba)_(W_TYTO_ALBA_R1_C16).ogg,CC-BY-4.0,CONFIRMED
Tree Sparrow,Tree Sparrow,https://xeno-canto.org/536083,CC-BY,CONFIRMED
Snowy Owl,Cape Eagle Owl (replacement),https://commons.wikimedia.org/wiki/Special:FilePath/Cape_Eagle_Owl_(Bubo_capensis)_(W1CDR0001437_BD2).ogg,CC-BY-4.0,CONFIRMED
Great Horned Owl,Tawny Owl (replacement),https://commons.wikimedia.org/wiki/Special:FilePath/Tawny_Owl_(Strix_aluco)_(W1CDR0001519_BD8).ogg,CC-BY-4.0,CONFIRMED
Kingfisher,Grey-headed Kingfisher,https://commons.wikimedia.org/wiki/Special:FilePath/Grey-headed_Kingfisher_(Halcyon_leucocephala)_(022A-WA03044X0041-0008M0).ogg,CC-BY-4.0,CONFIRMED
Hoopoe,Green Wood Hoopoe,https://commons.wikimedia.org/wiki/Special:FilePath/Green_Wood_Hoopoe_(Phoeniculus_purpureus)_(022A-WA03044X0020-0009M0).ogg,CC-BY-4.0,CONFIRMED
Woodpecker,Great Spotted Woodpecker,https://commons.wikimedia.org/wiki/Special:FilePath/Great_Spotted_Woodpecker_(Picoides_major)_(W1CDR0001405_BD15).ogg,CC-BY-4.0,CONFIRMED
Hornbill,African Grey Hornbill,https://commons.wikimedia.org/wiki/Special:FilePath/African_Grey_Hornbill_(Tockus_nasutus)_(022A-WA03044X0024-0021M0).ogg,CC-BY-4.0,CONFIRMED
Sunbird,Amethyst Sunbird,https://commons.wikimedia.org/wiki/Special:FilePath/Amethyst_Sunbird_(Nectarinia_amethystina)_(W1CDR0000988_BD12).ogg,CC-BY-4.0,CONFIRMED
Swallow,Lesser Striped Swallow,https://commons.wikimedia.org/wiki/Special:FilePath/Lesser_Striped_Swallow_(Cecropis_abyssinica)_(022A-WA03044X0032-0002M0).ogg,CC-BY-4.0,CONFIRMED
